file,title,knowledge_id,bytes,parse_status,summary_status,enable_status
三极管类的B类推挽输出.md,三极管类的B类推挽输出.md,5b1ac473-718c-4102-8fef-664302a8bd12,4578,completed,completed,enabled
上拉电阻.md,上拉电阻.md,c5b1b7a6-49ad-4e64-9187-d290056fde52,3090,completed,completed,enabled
不同封装的二极体电桥.md,不同封装的二极体电桥.md,f2b1ef7b-30ca-4169-9c31-5eea497d73dc,5405,completed,completed,enabled
不间断电源.md,不间断电源.md,bfa0e872-7d4b-4e67-9dc2-ee9242cca0f9,5001,completed,completed,enabled
东京地铁15000系电力动车组.md,东京地铁15000系电力动车组.md,66951067-a768-45c2-8d0a-432e45402992,5148,completed,completed,enabled
东京都交通局10-000型电联车.md,东京都交通局10-000型电联车.md,cc3441ad-d101-40b1-ba61-be4de83afcb2,5288,completed,completed,enabled
东京都交通局12-600型电力动车组.md,东京都交通局12-600型电力动车组.md,ae068a0b-69f2-474f-92f0-723f3ca08b32,3502,completed,completed,enabled
东京都交通局5300型电联车为东京都交通局.md,东京都交通局5300型电联车为东京都交通局.md,cbaa53b8-b689-48a8-86ac-78ff769072bb,5558,completed,completed,enabled
东京都交通局6300型电力动车组为东京都交通局.md,东京都交通局6300型电力动车组为东京都交通局.md,064a84c3-0d84-4bd2-b7e5-1a94584b2440,5153,completed,completed,enabled
东京都交通局E5000型电力机车.md,东京都交通局E5000型电力机车.md,b70e88f2-e44c-4c5d-adf3-c036f55c7867,3829,completed,completed,enabled
东洋电机制造股份有限公司.md,东洋电机制造股份有限公司.md,fe9d7d66-f133-4b74-8da2-0f4a81e3dc82,5127,completed,completed,enabled
东风11D型柴油机车.md,东风11D型柴油机车.md,66c713b7-24dd-4ac5-8447-7fbb901a6caa,6611,completed,completed,enabled
东风21型柴油机车.md,东风21型柴油机车.md,202447d2-b30e-4d12-bdee-d699ab76ebbe,3389,completed,completed,enabled
东风7J型柴油机车.md,东风7J型柴油机车.md,6e0f8ff5-ef7d-493a-a554-76ea9d5a7481,2467,completed,completed,enabled
东风8D型柴油机车.md,东风8D型柴油机车.md,4c2e01f7-85fc-4b02-b69d-89da4a523c27,7476,completed,completed,enabled
中国铁路25A型客车.md,中国铁路25A型客车.md,b05d567d-7dcd-43ef-aa1e-b2b14c713646,5154,completed,completed,enabled
丰田混合动力系统.md,丰田混合动力系统.md,365b5071-7491-4e03-8146-2c4f69bb5b27,6978,completed,completed,enabled
主动整流.md,主动整流.md,47b6e6b5-2442-4983-9b6f-3321ca8527cd,4546,completed,completed,enabled
主飞行显示器.md,主飞行显示器.md,863b9992-0ae5-4ae9-a61e-9d3658a52c62,5268,completed,completed,enabled
亚的斯亚贝巴轻轨.md,亚的斯亚贝巴轻轨.md,0ebc62e6-3bcf-4141-8650-bb2ea3c8d91c,4311,completed,completed,enabled
交流_交流转换器.md,交流_交流转换器.md,0fb9b718-afbd-42eb-b997-eed4cac8bd14,3647,completed,completed,enabled
交流电抗器.md,交流电抗器.md,1e9bb50a-71e7-4c44-8b81-1267ba0c5e46,968,completed,completed,enabled
京急2100型电联车.md,京急2100型电联车.md,9eed4555-f0cf-4404-b263-7fbecbf54cd8,3683,completed,completed,enabled
企业服务总线.md,企业服务总线.md,c715f4db-7ce9-464b-ad70-90984e98e28d,3431,completed,completed,enabled
企业系统规划.md,企业系统规划.md,a70d63e1-7b86-4639-b922-b7554b08e300,6612,completed,completed,enabled
保险丝.md,保险丝.md,17e96583-64f2-450c-b8fc-b01b80f0eff5,5006,completed,completed,enabled
充电器.md,充电器.md,6ea6d83d-b418-43b4-8c76-4034325768df,3110,completed,completed,enabled
充电桩.md,充电桩.md,cc5fd93e-9cb1-4843-b8fe-f3bb2889cd17,7769,completed,completed,enabled
先锋测试飞行器三号.md,先锋测试飞行器三号.md,656cecf8-a723-41f4-abb2-7c764d521077,4986,completed,completed,enabled
光伏逆变器.md,光伏逆变器.md,28060743-8724-4288-9c37-fa2a9e82ab24,6242,completed,completed,enabled
光声光谱.md,光声光谱.md,d652f49e-32fe-4d7c-b53f-ebcaf6d28c87,3565,completed,completed,enabled
光学晶体管.md,光学晶体管.md,e56f076b-bfe9-4682-a6f0-8722f74892b5,6180,completed,completed,enabled
光电二极管的符号.md,光电二极管的符号.md,a79b9b92-bb90-454a-b843-d307d02b0727,7633,completed,completed,enabled
光隔离探头.md,光隔离探头.md,ecbac594-9265-4413-8c1e-99a72e06ad52,8048,completed,completed,enabled
全热交换机.md,全热交换机.md,51eee768-243e-47ae-b243-7ee5d98759fe,6709,completed,completed,enabled
再生制动.md,再生制动.md,fa3a521c-050b-4662-991f-3ec4e395584d,3902,completed,completed,enabled
冷阴极萤光灯用逆变器.md,冷阴极萤光灯用逆变器.md,aba2e1a2-7039-46fb-ae12-fac5ef2534f0,3805,completed,completed,enabled
减载.md,减载.md,30673d7b-147b-4af9-9b98-5fa22e237301,1555,completed,completed,enabled
分电器.md,分电器.md,d3eb8c10-4f6a-4375-b7e9-49e4e8fdf3ec,3059,completed,completed,enabled
到达时间差.md,到达时间差.md,6a9202c7-66da-46ba-9b31-5ec1355ef838,2701,completed,completed,enabled
功率因数修正电路的效果.md,功率因数修正电路的效果.md,480a64fc-93f6-49d7-9b61-86c48ecbd7ca,4508,completed,completed,enabled
加那利大型望远镜的主动光学促动器.md,加那利大型望远镜的主动光学促动器.md,7f762637-5527-4189-8941-de83e9c3b4d8,4012,completed,completed,enabled
北京地铁一号线.md,北京地铁一号线.md,5e5af26f-c5e8-400b-81ca-0435f2a2b24f,7291,completed,completed,enabled
千斤顶.md,千斤顶.md,78b2fd8b-8471-4d07-9638-030bb1297238,7109,completed,completed,enabled
单相异步电动机.md,单相异步电动机.md,e60897db-1028-454c-8668-a6096ca5ea73,5051,completed,completed,enabled
卡尔·布劳恩.md,卡尔·布劳恩.md,bdb0f7e4-8712-4810-a8c1-a830d25dfe97,7193,completed,completed,enabled
即热式燃气热水器.md,即热式燃气热水器.md,b67fd68b-3de6-4c4e-925b-54d7eab0c467,4969,completed,completed,enabled
压力传感器.md,压力传感器.md,0a4649da-e808-4bc4-9dce-b799ab0e18b8,3971,completed,completed,enabled
压延成型.md,压延成型.md,73052061-fa0e-446c-9544-44b6083f4fdd,6357,completed,completed,enabled
发动机防盗锁止系统.md,发动机防盗锁止系统.md,28818016-cee8-4168-b5c1-4d3728feb920,2616,completed,completed,enabled
发电机.md,发电机.md,33066bcc-90e6-4728-8ef7-69ac46638f4e,5859,completed,completed,enabled
可关断晶闸管.md,可关断晶闸管.md,6d722cb1-395f-49ad-9939-8b7b0752d361,4148,completed,completed,enabled
台铁R180.md,台铁R180.md,2c27b586-c615-4e6d-8886-6ac599262e0b,7889,completed,completed,enabled
同步电动机.md,同步电动机.md,6b687758-8a53-483e-b124-b5c58b4f92d4,2587,completed,completed,enabled
呼叫中心.md,呼叫中心.md,f68771ad-c495-4cb2-b8ee-56644ca048ee,4294,completed,completed,enabled
品质因数.md,品质因数.md,edc68af7-546f-4f68-8bf9-7ee877dd4d0e,1376,completed,completed,enabled
回转窑.md,回转窑.md,6381f230-a0c6-47e3-9c13-b7b43c5024f1,6680,completed,completed,enabled
在无线电通信中.md,在无线电通信中.md,257367c3-aa29-4a40-8602-63fc56ba060e,6612,completed,completed,enabled
在物理学和电机工程学中.md,在物理学和电机工程学中.md,a42a8d12-a6d1-4b26-8a96-769bfdc32363,3124,completed,completed,enabled
在电子学.md,在电子学.md,2c1688b6-ec9a-4cc4-a901-1d9a6b9e8ceb,3366,completed,completed,enabled
在电气工程中.md,在电气工程中.md,11e00295-2758-4dc0-a0bd-ae0b66c39deb,2652,completed,completed,enabled
在线模型.md,在线模型.md,38e7d043-0a89-4e84-bdd7-327c38b3e041,3534,completed,completed,enabled
在计算机视觉领域.md,在计算机视觉领域.md,0c355ba3-3a61-4dea-8279-b94c3c7e693c,6520,completed,completed,enabled
地中海贫血.md,地中海贫血.md,7a9261a5-6c0c-4f5a-8ee9-82de43a801dd,6381,completed,completed,enabled
地球静止轨道.md,地球静止轨道.md,789d1fc6-7a41-4734-a1d7-81477f19342f,7926,completed,completed,enabled
地震检波器.md,地震检波器.md,ad46ee9d-969c-4b44-9a16-92218d54938a,2876,completed,completed,enabled
坚果手机U1.md,坚果手机U1.md,341d16a5-9779-42d7-a4e5-de51bb583ef9,5854,completed,completed,enabled
埃森哲.md,埃森哲.md,2bbbe150-5cb9-492b-b088-1bc34a17ad77,5936,completed,completed,enabled
基因预测.md,基因预测.md,0a295d6a-74bc-437e-93c3-8f2063718269,6742,completed,completed,enabled
填谷式电路或填谷电路.md,填谷式电路或填谷电路.md,d598f6af-08ae-4857-8cb0-006e836edd5c,2359,completed,completed,enabled
增压器.md,增压器.md,d51c67aa-3cab-4bff-8c26-798ec6efaeab,3987,completed,completed,enabled
声学多普勒流速剖面仪.md,声学多普勒流速剖面仪.md,19508df9-6a8b-410a-bf4d-028f4137e61f,7313,completed,completed,enabled
天梭型电力机车.md,天梭型电力机车.md,9daba29f-90ec-4567-aa51-00f835030251,7404,completed,completed,enabled
天气表示大气在某个特定时间和空间的状态.md,天气表示大气在某个特定时间和空间的状态.md,74350516-f58e-4d99-9904-f017d79d608b,6498,completed,completed,enabled
天线.md,天线.md,6e317d97-967f-4a14-81be-e77f47f3cca6,8802,completed,completed,enabled
天驰号柴油动车组.md,天驰号柴油动车组.md,c9000649-6cd9-4703-a524-9aeefbba7cb8,3357,completed,completed,enabled
太阳能光伏.md,太阳能光伏.md,bc61f881-d6cd-455a-8652-ff37b5235fef,7866,completed,completed,enabled
奥托四冲程发动机.md,奥托四冲程发动机.md,49c13546-8b45-4581-ab55-689026941351,5824,completed,completed,enabled
如果从定量的角度去研究细胞的时候.md,如果从定量的角度去研究细胞的时候.md,89d8ac82-6855-4da0-8da9-9ffe95110f38,8452,completed,completed,enabled
威廉·肖克利.md,威廉·肖克利.md,eedfdff1-e41d-4246-a704-4c8657b9c73d,6585,completed,completed,enabled
安全继电器.md,安全继电器.md,8f53adc3-f4c3-4cac-b8ab-72901c0af87d,3793,completed,completed,enabled
安定器.md,安定器.md,c14083f9-1099-4853-a76a-a76cbd36d424,4588,completed,completed,enabled
定时开关.md,定时开关.md,146fd75c-e97e-4716-9a99-752109c1fe85,3489,completed,completed,enabled
寄存器堆.md,寄存器堆.md,c70776ec-e5eb-4e12-b24e-366e05382b1e,6314,completed,completed,enabled
射出成型机.md,射出成型机.md,0a92b73e-286b-4f7f-ac63-ab2e119a550a,7580,completed,completed,enabled
射电天文学.md,射电天文学.md,08c9e461-e149-4b64-a784-fe8872382e06,7479,completed,completed,enabled
尖兵系列卫星.md,尖兵系列卫星.md,aeeea4d6-2ae1-4fa8-b8ec-fa1f2aee80d2,5258,completed,completed,enabled
布赫利驱动方式.md,布赫利驱动方式.md,3eec038e-9e0f-47cd-b852-592a32b23572,8247,completed,completed,enabled
带 (机械).md,带 (机械).md,a7dd9a79-bb47-4875-8009-d0248221ca92,3263,completed,completed,enabled
常染色体显性多囊肾.md,常染色体显性多囊肾.md,8bff0ae1-e2f0-45d8-9aaf-7fa559519099,7052,completed,completed,enabled
平衡传输线.md,平衡传输线.md,770b5531-efe4-4b42-bd86-198ba454f352,7444,completed,completed,enabled
广州地铁二号线增购列车.md,广州地铁二号线增购列车.md,2247a0a1-dd8d-40eb-b1d7-3dd33d514c28,6147,completed,completed,enabled
开机自我检测卡.md,开机自我检测卡.md,8f1f8b9c-5bc8-4c26-b2bf-153661c4e848,2465,completed,completed,enabled
开集极电路.md,开集极电路.md,43a23f4c-6f03-4c1f-aca0-24e2c254ce6e,2610,completed,completed,enabled
微机电系统.md,微机电系统.md,b7b191d9-2c41-40a1-887b-e20384fa75a1,6540,completed,completed,enabled
微泡.md,微泡.md,5ec108c7-a84b-4cec-9b4b-76113401c2f9,8443,completed,completed,enabled
微流控.md,微流控.md,c4762739-ed13-4021-a363-d56771cddce4,3393,completed,completed,enabled
德国国营铁路230型电力机车.md,德国国营铁路230型电力机车.md,4067c186-9a75-4cb2-a032-1d661b626f6b,7916,completed,completed,enabled
德国国营铁路250型电力机车.md,德国国营铁路250型电力机车.md,713e8b06-6c97-4e52-8943-aba27a9172e5,6939,completed,completed,enabled
德国国营铁路E251型电力机车.md,德国国营铁路E251型电力机车.md,a776bec8-6069-4e89-82d3-9a266c931554,5972,completed,completed,enabled
德国国营铁路E42型电力机车.md,德国国营铁路E42型电力机车.md,6ebd9183-a46a-481d-92f4-5d193c9d85e4,5568,completed,completed,enabled
德国联邦铁路210型柴油机车.md,德国联邦铁路210型柴油机车.md,f81ac797-ba90-493b-829c-28d858cf9810,7453,completed,completed,enabled
德国联邦铁路215型柴油机车.md,德国联邦铁路215型柴油机车.md,434bfdea-752d-42f1-809c-68632813fc7d,7001,completed,completed,enabled
德国联邦铁路E410型电力机车.md,德国联邦铁路E410型电力机车.md,6514ffd9-8b80-406d-a0cd-8e06c5f5b1ca,4219,completed,completed,enabled
德国联邦铁路E50型电力机车.md,德国联邦铁路E50型电力机车.md,5f8395f9-c695-4b28-933e-5fd3133679a3,7121,completed,completed,enabled
感应加热.md,感应加热.md,20f11253-4107-4511-a207-a8ef8933a3b8,6651,completed,completed,enabled
